geoid,COORD_X,COORD_Y,Married,USBORN,White,Under18,AirQuality,COMM_IND,Parks,Residential,Alcohol,Births,Obese,HouseOwners,Burglaries,Homicides,Incarceration,CarTheft,Robberies
101,-74.01267086,40.70717276,45.67704254,72.96427001,66.78096747,17.11523454,9,39.7589699,4.707939543,19.18760323,509,16.6,4,28.30400875,0.713720144,0,152,0.305880062,0.859377317
102,-74.00154883,40.72982653,32.44017991,77.6994789,74.66194675,9.517161012,9,28.57734096,6.644023997,42.92348273,485,8.5,4,31.58411088,3.221125305,0.021987203,100,0.395769662,2.220707548
103,-73.98554257,40.71959551,31.28405493,65.40213561,32.95683649,11.67293778,8.4,10.47292093,15.96944707,55.79695048,1144,7.5,10,12.23569722,1.699089646,0.006339887,449,0.405752751,1.515232931
104,-73.99753625,40.75542221,28.30042593,70.61631783,57.55938908,8.166202735,9.4,41.90981763,2.12673619,36.39555123,1299,8.3,10,22.08059221,2.272198665,0.017891328,313,0.46517453,2.209579017
105,-73.98405609,40.75227666,32.80125572,71.43726074,65.03580585,8.310062837,10.9,69.44406172,2.359264525,19.25364112,872,10.3,10,28.68476455,7.109319861,0.058432766,297,0.798581135,4.343502271
106,-73.97457333,40.74465748,35.53939619,77.77979033,68.72719185,8.792755609,9.8,20.26926152,3.45917753,56.38809731,943,8.8,13,33.34674992,0.864748616,0.007146683,180,0.343040773,0.793281788
107,-73.97612448,40.78716709,43.8166596,76.45200324,65.53884032,15.10351437,8.3,10.6500487,24.77186147,52.89331017,633,11.6,10,35.50883359,1.038192572,0.014287054,211,0.395275153,0.952470249
108,-73.95572708,40.77156266,46.42859691,76.7806678,75.59326902,14.75258835,8.9,20.64180554,8.390427283,17.12784991,593,11,11,36.5779718,0.997675837,0.004494035,71,0.310088436,0.606694766
109,-73.95502895,40.81805145,24.66122498,65.98419853,26.1168056,15.60308372,8,7.991271188,14.05797704,46.25175976,1305,9.4,21,13.79284557,1.305187686,0.034805005,633,0.41766006,2.279727825
110,-73.94473487,40.81368914,23.95384919,76.65715264,13.9934114,20.28602046,7.9,5.866910585,9.268698149,66.53292938,1544,13,34,13.29733687,1.644540673,0.029631363,1347,0.466693975,2.696454077
111,-73.93497697,40.79490752,24.63938323,75.94252499,13.7990133,20.66433438,8.1,12.567163,43.07166698,28.96817238,2333,12.4,28,7.282047269,1.424893904,0.046463932,1291,0.363967464,2.563260229
112,-73.93151728,40.85511711,30.79090283,53.30182443,18.94264184,17.05210773,7.8,7.310598158,49.69867811,29.88996287,1055,10.6,26,9.185870456,1.043476619,0.009443227,482,0.585480094,1.463700234
201,-73.91646952,40.81090932,24.0648791,71.78931726,2.052406091,30.36178288,8.5,37.5998864,6.367359489,36.37165186,2333,16.7,42,6.639779059,2.540861451,0.061472454,1214,0.911841408,4.630924903
202,-73.88786698,40.81332201,23.11396417,66.17434882,1.019881455,28.21927858,8.5,55.67416534,3.68585,17.90418581,1905,14.5,42,7.569973427,2.050048796,0.073875632,1036,1.237416841,2.567178222
203,-73.89864374,40.83255576,26.73872319,69.1025737,1.109905668,29.94119177,7.9,14.07002895,21.07269237,45.40920096,2367,15.1,36,7.143812691,2.407472069,0.066874224,1243,1.114570402,2.752988894
204,-73.92079892,40.83380631,28.47691929,56.46669633,1.725482305,27.68775142,8.3,16.63842183,16.67022521,43.29722224,1801,16.1,34,7.307741475,1.423076274,0.072471477,813,0.75765635,2.569443273
205,-73.90957971,40.85274613,28.90401838,56.90248719,1.474498826,28.57666512,8.3,10.48296861,6.475453668,61.06589212,1931,16.2,34,3.64661781,1.496337742,0.067673566,1033,0.699293518,2.248266255
206,-73.88753009,40.84960393,25.68435353,68.15686952,6.67576444,28.31885581,7.9,10.41106448,33.83929205,32.29698406,2163,15.1,36,6.685948282,1.977006767,0.125705633,1015,0.822800504,3.085501891
