OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,COORD_X,COORD_Y
1,      0.11635745319,      0.00078230679,Newark Airport,1,EWR,  935996.821016206520000,  191376.749530832020000
2,      0.43346966679,      0.00486634038,Jamaica Bay,2,Queens, 1031085.718603284300000,  164018.754403201660000
3,      0.08434110590,      0.00031441416,Allerton/Pelham Gardens,3,Bronx, 1026452.616873472700000,  254265.478658568930000
4,      0.04356652709,      0.00011187195,Alphabet City,4,Manhattan,  990633.980641047940000,  202959.782391136800000
5,      0.09214648986,      0.00049795749,Arden Heights,5,Staten Island,  931871.370068013900000,  140681.351375973430000
6,      0.15049054252,      0.00060646098,Arrochar/Fort Wadsworth,6,Staten Island,  964319.735448061020000,  157998.935611923890000
7,      0.10741717112,      0.00038978799,Astoria,7,Queens, 1006496.679158680700000,  216719.218168678930000
8,      0.02759069116,      0.00002658772,Astoria Park,8,Queens, 1005551.571177870200000,  222936.087551585430000
9,      0.09978409247,      0.00033844380,Auburndale,9,Queens, 1043002.677424325400000,  212969.849013659700000
10,      0.09983947942,      0.00043582382,Baisley Park,10,Queens, 1042223.605072259100000,  186706.496469157170000
11,      0.07921103896,      0.00026452054,Bath Beach,11,Brooklyn,  982170.783233878670000,  159429.316883698110000
12,      0.03666130136,      0.00004151162,Battery Park,12,Manhattan,  979934.730567724330000,  195378.972850877500000
13,      0.05028132286,      0.00014935859,Battery Park City,13,Manhattan,  979792.331028984040000,  198691.525437531760000
14,      0.17521369805,      0.00138177826,Bay Ridge,14,Brooklyn,  975952.035081923360000,  166921.550422068280000
15,      0.14433622262,      0.00092521940,Bay Terrace/Fort Totten,15,Queens, 1043521.383045570200000,  224738.612975575500000
16,      0.14129187377,      0.00087188945,Bayside,16,Queens, 1047016.784330187900000,  217243.760496180210000
17,      0.09352263295,      0.00032295765,Bedford,17,Brooklyn,  998142.206078637860000,  191215.068359119090000
18,      0.06979954986,      0.00014885016,Bedford Park,18,Bronx, 1014623.327276342200000,  255416.742153011580000
19,      0.10182487545,      0.00054666109,Bellerose,19,Queens, 1060002.749610200100000,  207352.352516487120000
20,      0.05144019244,      0.00013451263,Belmont,20,Bronx, 1015821.861453090600000,  251810.303512513000000
21,      0.11597356906,      0.00038025135,Bensonhurst East,21,Brooklyn,  988821.391577681410000,  158393.657786024330000
22,      0.12617022920,      0.00047206268,Bensonhurst West,22,Brooklyn,  985566.417654288700000,  162323.828723586400000
23,      0.29055602896,      0.00219556576,Bloomfield/Emerson Hill,23,Staten Island,  936800.381422863110000,  160268.123713333510000
24,      0.04699996193,      0.00006072357,Bloomingdale,24,Manhattan,  993807.271658357230000,  231458.376055964590000
25,      0.04714581993,      0.00012416827,Boerum Hill,25,Brooklyn,  988101.221326197610000,  189071.579139366340000
26,      0.12354780707,      0.00053403993,Borough Park,26,Brooklyn,  987397.462666262640000,  169148.407468972260000
27,      0.20250880852,      0.00134088763,Breezy Point/Fort Tilden/Riis Beach,27,Queens, 1010116.052591116700000,  142998.097106859000000
28,      0.09796078221,      0.00029120393,Briarwood/Jamaica Hills,28,Queens, 1037276.450260145000000,  198588.180363896970000
29,      0.07140831277,      0.00020167384,Brighton Beach,29,Brooklyn,  995023.095007896540000,  150924.276877946570000
30,      0.09450976698,      0.00014586211,Broad Channel,30,Queens, 1033697.381938628500000,  159266.086883844200000
31,      0.09642456665,      0.00033397593,Bronx Park,31,Bronx, 1018696.400632951600000,  251801.913395067470000
32,      0.05426721601,      0.00015087917,Bronxdale,32,Bronx, 1021618.218390130900000,  254085.684146759940000
33,      0.05327029320,      0.00014741680,Brooklyn Heights,33,Brooklyn,  985567.139360787930000,  192774.492365673070000
34,      0.06570593235,      0.00017394615,Brooklyn Navy Yard,34,Brooklyn,  992238.744868423210000,  194618.425745585230000
35,      0.08578791859,      0.00032382520,Brownsville,35,Brooklyn, 1009147.231498905800000,  181203.321104912730000
36,      0.08705078671,      0.00024766614,Bushwick North,36,Brooklyn, 1007067.378454745300000,  194506.264574072500000
37,      0.14281004047,      0.00045206264,Bushwick South,37,Brooklyn, 1005813.837635543700000,  192491.072549170290000
38,      0.08321756852,      0.00032739268,Cambria Heights,38,Queens, 1057581.885730544300000,  192354.375341575240000
39,      0.13236962076,      0.00090028294,Canarsie,39,Brooklyn, 1012077.483153211800000,  171746.348940595290000
40,      0.05185066488,      0.00010894921,Carroll Gardens,40,Brooklyn,  985371.611026809320000,  186726.944173033290000
41,      0.05279310945,      0.00014309304,Central Harlem,41,Manhattan,  997734.645233140210000,  232321.290547516810000
42,      0.09270922746,      0.00026389695,Central Harlem North,42,Manhattan, 1000643.632259087100000,  237395.871547804210000
43,      0.09973861836,      0.00037966291,Central Park,43,Manhattan,  993789.009698531940000,  224356.212211650650000
44,      0.23568896759,      0.00194465649,Charleston/Tottenville,44,Staten Island,  919325.670701475350000,  130813.717309205120000
45,      0.04590686262,      0.00009135947,Chinatown,45,Manhattan,  984762.469282920360000,  198844.636116601820000
46,      0.13447542988,      0.00092639168,City Island,46,Bronx, 1044565.404974308400000,  248697.327001095520000
47,      0.08982755633,      0.00016319812,Claremont/Bathgate,47,Bronx, 1011831.010199314800000,  246329.044265001780000
48,      0.04374674414,      0.00009425384,Clinton East,48,Manhattan,  987063.185702125430000,  216986.070033748780000
49,      0.07529001834,      0.00020318553,Clinton Hill,49,Brooklyn,  994687.798907534800000,  189923.679931340040000
50,      0.05574798675,      0.00017324928,Clinton West,50,Manhattan,  985597.534391923230000,  218437.820285734660000
51,      0.09536134423,      0.00039575655,Co-Op City,51,Bronx, 1031744.971091501200000,  257736.031772828400000
52,      0.02890767101,      0.00004520275,Cobble Hill,52,Brooklyn,  985158.534254694010000,  189441.987181407920000
53,      0.16150091339,      0.00094753098,College Point,53,Queens, 1027782.026539034400000,  223823.082735079660000
54,      0.07621924486,      0.00013245213,Columbia Street,54,Brooklyn,  983442.583194162110000,  189642.160297551080000
55,      0.14995680752,      0.00073627471,Coney Island,55,Brooklyn,  987599.176310722830000,  149479.235295187770000
56,      0.05684781267,      0.00018090784,Corona,56,Queens, 1023365.172611275000000,  209422.594855460630000
57,      0.01927050486,      0.00001802598,Corona,56,Queens, 1024817.453804800600000,  213218.634924339970000
58,      0.05985540949,      0.00020498093,Country Club,58,Bronx, 1033945.796695428100000,  245891.954292446670000
59,      0.03779480709,      0.00006287652,Crotona Park,59,Bronx, 1013307.866885172100000,  244801.239917108700000
60,      0.07864828782,      0.00016183328,Crotona Park East,60,Bronx, 1015824.071710439400000,  243143.057809585940000
