statefp,countyfp,tractce,geoid,name,namelsad,mtfcc,funcstat,aland,awater,intptlat,intptlon,Population,Gini,Incom_Hold,Commu_Time,Media_alue,COORD_X,COORD_Y
36,005,000100,36005000100,1,Census Tract 1,G5020,S,1579361,1125765,+40.7934921,-073.8835318,7411,n/a,n/a,n/a,399400, 1016483.316460525800000,  228128.388307093730000
36,005,000200,36005000200,2,Census Tract 2,G5020,S,455322,926899,+40.8045733,-073.8568585,5058,0.36,62773,41.8,376500, 1023006.743130188000000,  232914.484333149970000
36,005,000400,36005000400,4,Census Tract 4,G5020,S,912392,602945,+40.8089152,-073.8504884,5944,0.39,82697,47.7,389600, 1025585.212538169500000,  233748.460342150790000
36,005,001600,36005001600,16,Census Tract 16,G5020,S,485079,0,+40.8188478,-073.8580764,6115,0.42,33118,38.6,375000, 1023532.530519100000000,  237637.296734385160000
36,005,001900,36005001900,19,Census Tract 19,G5020,S,1643654,1139660,+40.8009990,-073.9093729,2817,0.51,40117,44.1,391800, 1009281.662459594000000,  231204.280127348840000
36,005,002000,36005002000,20,Census Tract 20,G5020,S,395567,0,+40.8175801,-073.8660962,9608,0.5,18370,41,0, 1021313.458790887100000,  237171.931711494050000
36,005,002300,36005002300,23,Census Tract 23,G5020,S,104522,0,+40.8090843,-073.9258461,4733,0.51,17426,41.4,0, 1004777.802153922000000,  234056.991970969040000
36,005,002400,36005002400,24,Census Tract 24,G5020,S,675614,265837,+40.8157533,-073.8711124,130,n/a,n/a,n/a,493300, 1020093.281225117600000,  236238.055382526600000
36,005,002500,36005002500,25,Census Tract 25,G5020,S,127619,0,+40.8070029,-073.9208781,5760,0.52,22771,40.2,0, 1006153.758928163700000,  233299.848146213920000
36,005,002701,36005002701,27.01,Census Tract 27.01,G5020,S,83140,0,+40.8050514,-073.9163293,2958,0.52,17383,43,0, 1007413.733098816000000,  232590.020963534650000
36,005,002702,36005002702,27.02,Census Tract 27.02,G5020,S,157365,0,+40.8064374,-073.9137370,4538,0.46,13216,49.7,261600, 1008130.880920894200000,  233095.703852104810000
36,005,002800,36005002800,28,Census Tract 28,G5020,S,417476,24677,+40.8225183,-073.8782336,5423,0.43,52294,48.3,0, 1017953.875766799200000,  238636.304505568320000
36,005,003100,36005003100,31,Census Tract 31,G5020,S,156292,0,+40.8098763,-073.9056946,1675,0.43,42353,38.3,402300, 1010355.977301726100000,  234350.893413777490000
36,005,003300,36005003300,33,Census Tract 33,G5020,S,150723,0,+40.8082226,-073.9119246,3693,0.5,20413,44.8,423700, 1008631.984937187900000,  233746.604461289510000
36,005,003500,36005003500,35,Census Tract 35,G5020,S,142005,0,+40.8109651,-073.9086696,3821,0.48,31638,48.8,0, 1009532.016371524800000,  234746.714434267780000
36,005,003700,36005003700,37,Census Tract 37,G5020,S,167634,0,+40.8114424,-073.9121870,292,0.33,n/a,34.7,374600, 1008558.153008607400000,  234919.615120184580000
36,005,003800,36005003800,38,Census Tract 38,G5020,S,63397,0,+40.8202946,-073.8633435,1437,0.42,36667,38.6,222100, 1022073.849420718000000,  238162.116937022710000
36,005,003900,36005003900,39,Census Tract 39,G5020,S,216210,0,+40.8097217,-073.9214264,6473,0.54,30357,40.8,423300, 1006001.096071368000000,  234290.273878535110000
36,005,004001,36005004001,40.01,Census Tract 40.01,G5020,S,123145,0,+40.8282719,-073.8583355,1428,0.33,49706,40.6,381500, 1023455.259188238200000,  241070.734680820840000
36,005,004100,36005004100,41,Census Tract 41,G5020,S,184733,0,+40.8113856,-073.9194099,5946,0.55,20137,39.9,143800, 1006558.743114486900000,  234897.000826120410000
36,005,004200,36005004200,42,Census Tract 42,G5020,S,483365,0,+40.8239307,-073.8620059,7814,0.41,30710,45.3,424500, 1022441.960704591600000,  239487.442144615490000
36,005,004300,36005004300,43,Census Tract 43,G5020,S,225393,0,+40.8136213,-073.9170376,6190,0.47,22940,39,383000, 1007214.679450270000000,  235712.168074744610000
36,005,004400,36005004400,44,Census Tract 44,G5020,S,263379,0,+40.8265305,-073.8663677,4446,0.59,19077,45.5,131300, 1021233.335990107500000,  240432.768829155040000
