geoid;gini
36005000200;0,4338
36005000400;0,4097
36005001600;0,439
36005001900;0,4542
36005002000;0,5319
36005002300;0,4538
36005002500;0,5144
36005002701;0,4649
36005002702;0,552
36005002800;0,3268
36005003100;0,4092
36005003300;0,546
36005003500;0,4631
36005003700;0,4215
36005003800;0,5519
36005003900;0,5068
36005004001;0,4074
36005004100;0,5477
36005004200;0,4081
36005004300;0,5272
36005004400;0,4666
36005004600;0,4619
36005004800;0,4268
36005005001;0,5371
36005005002;0,4993
36005005100;0,4485
36005005200;0,6354
36005005300;0,4976
36005005400;0,4436
36005005600;0,5197
36005005902;0,534
36005006000;0,4806
36005006100;0,3891
36005006200;0,4586
36005006300;0,5434
36005006400;0,4845
36005006500;0,5075
36005006700;0,7288
36005006800;0,398
36005006900;0,5291
36005007000;0,4501
36005007100;0,4551
36005007200;0,4524
36005007300;0,477
36005007400;0,4819
36005007500;0,4538
36005007600;0,45
36005007700;0,4601
36005007800;0,499
36005007900;0,4849
36005008300;0,5136
36005008400;0,3974
36005008500;0,5543
36005008600;0,585
36005008700;0,4824
36005008900;0,4691
36005009000;0,6155
36005009200;0,4724
36005009300;0,4583
36005009600;0,4463
36005009800;0,428
36005011000;0,4217
36005011502;0,5746
36005011700;0,5149
36005011800;0,3926
36005011900;0,4957
36005012101;0,4453
36005012102;0,4526
36005012300;0,619
36005012500;0,4946
36005012701;0,5476
36005012901;0,4817
36005013000;0,422
36005013100;0,4462
36005013200;0,3934
36005013300;0,5538
36005013500;0,5371
36005013800;0,4137
36005014100;0,6253
36005014300;0,4159
36005014400;0,5585
36005014500;0,5826
36005014701;0,4661
36005014702;0,4878
36005014900;0,4384
36005015100;0,4463
36005015200;0,4398
36005015300;0,6101
36005015500;0,491
36005015700;0,5252
36005015800;0,4499
36005015900;0,5361
36005016000;0,4116
36005016100;0,5382
36005016200;0,4779
36005016400;0,4281
36005016500;0,4768
36005016600;0,4092
36005016700;0,3932
36005016900;0,4938
36005017300;0,477
36005017500;0,5689
36005017701;0,5534
36005017702;0,4899
36005017901;0,4573
36005017902;0,4777
36005018101;0,5016
36005018102;0,4326
36005018301;0,5055
36005018302;0,5076
36005018400;0,4295
36005018500;0,5041
36005018900;0,4806
36005019300;0,531
36005019400;0,4515
36005019500;0,4547
36005019700;0,5177
36005019900;0,4621
36005020000;0,4253
36005020100;0,4617
36005020200;0,4877
36005020400;0,4351
36005020501;0,5049
36005020502;0,5844
36005020601;0,4643
36005020900;0,4421
36005021001;0,3934
36005021002;0,4027
36005021100;0,4248
36005021200;0,32
36005021301;0,5294
36005021302;0,3764
36005021501;0,4914
36005021502;0,484
36005021601;0,4521
36005021602;0,3829
36005021700;0,4543
36005021800;0,4313
36005021900;0,4748
36005022000;0,4341
36005022101;0,4758
36005022102;0,4506
36005022200;0,42
36005022300;0,4289
36005022401;0,5908
36005022403;0,4668
36005022404;0,4943
36005022500;0,5532
36005022701;0,4989
36005022702;0,4246
36005022703;0,4559
36005022800;0,3694
36005022901;0,4756
36005022902;0,432
36005023000;0,4591
36005023100;0,4773
36005023200;0,5025
36005023301;0,4685
36005023302;0,4498
36005023501;0,4471
36005023502;0,5097
36005023600;0,4949
36005023702;0,4885
36005023703;0,4457
36005023704;0,459
36005023800;0,4321
36005023900;0,4928
36005024000;0,4176
36005024100;0,4739
36005024300;0,4734
36005024400;0,4434
36005024501;0,4941
36005024502;0,4989
36005024600;0,4511
36005024700;0,3691
36005024800;0,4443
36005025000;0,4198
36005025100;0,4992
36005025200;0,4439
36005025300;0,4241
36005025400;0,467
36005025500;0,4397
36005025600;0,396
36005025700;0,5456
36005026100;0,3716
36005026300;0,4976
36005026400;0,4765
36005026500;0,462
36005026601;0,3847
36005026602;0,4234
36005026701;0,4405
36005026702;0,5047
36005026900;0,4323
36005027300;0,4507
36005027401;0,387
36005027402;0,4209
